Agrupamiento_7,Values,Count,Column,All,prc
1.0,2.0,905,¿CON CUANTAS PERSONAS VIAJA?,3121.0,28.99711630887536
1.0,3.0,426,¿CON CUANTAS PERSONAS VIAJA?,3121.0,13.649471323293817
2.0,2.0,1013,¿CON CUANTAS PERSONAS VIAJA?,1883.0,53.797132235793946
2.0,3.0,422,¿CON CUANTAS PERSONAS VIAJA?,1883.0,22.411046202867766
2.0,4.0,248,¿CON CUANTAS PERSONAS VIAJA?,1883.0,13.170472650026554
3.0,2.0,381,¿CON CUANTAS PERSONAS VIAJA?,1361.0,27.99412196914034
3.0,1.0,315,¿CON CUANTAS PERSONAS VIAJA?,1361.0,23.144746509919177
3.0,3.0,225,¿CON CUANTAS PERSONAS VIAJA?,1361.0,16.531961792799414
4.0,2.0,787,¿CON CUANTAS PERSONAS VIAJA?,1616.0,48.70049504950495
4.0,3.0,329,¿CON CUANTAS PERSONAS VIAJA?,1616.0,20.358910891089106
4.0,1.0,182,¿CON CUANTAS PERSONAS VIAJA?,1616.0,11.262376237623762
5.0,2.0,1168,¿CON CUANTAS PERSONAS VIAJA?,2186.0,53.43092406221409
5.0,3.0,464,¿CON CUANTAS PERSONAS VIAJA?,2186.0,21.225983531564502
5.0,4.0,297,¿CON CUANTAS PERSONAS VIAJA?,2186.0,13.586459286367795
6.0,1.0,430,¿CON CUANTAS PERSONAS VIAJA?,1379.0,31.18201595358956
6.0,2.0,376,¿CON CUANTAS PERSONAS VIAJA?,1379.0,27.26613488034808
6.0,3.0,214,¿CON CUANTAS PERSONAS VIAJA?,1379.0,15.51849166062364
7.0,1.0,1841,¿CON CUANTAS PERSONAS VIAJA?,1869.0,98.50187265917603
7.0,2.0,11,¿CON CUANTAS PERSONAS VIAJA?,1869.0,0.588550026752274
