,Unnamed: 0,name,localidad,latitude,longitude,type,color
253,253,Parque Navarra,USAQUEN,4.694385,-74.052804,Atractivo Turistico,#00B4EB
254,254,Parque República de Francia,USAQUEN,4.69046,-74.047181,Atractivo Turistico,#00B4EB
255,255,Iglesia Santa Bárbara de Usaquén,USAQUEN,4.694963,-74.030409,Atractivo Turistico,#00B4EB
256,256,Plaza Fundacional de Usaquén,USAQUEN,4.6951,-74.030949,Atractivo Turistico,#00B4EB
257,257,Buendía Exposición Artesanal,USAQUEN,4.695703,-74.029498,Atractivo Turistico,#00B4EB
258,258,Pasaje Hernández,CANDELARIA,4.600256,-74.076055,Atractivo Turistico,#00B4EB
259,259,Iglesia Santa Beatriz,USAQUEN,4.698812,-74.043572,Atractivo Turistico,#00B4EB
260,260,Casa Hacienda Santa Bárbara Centro Comercial,USAQUEN,4.692739,-74.032462,Atractivo Turistico,#00B4EB
261,261,Centro Comercial Unicentro,USAQUEN,4.702144,-74.041169,Atractivo Turistico,#00B4EB
262,262,Santa Ana Centro Comercial Boutique,USAQUEN,4.690704,-74.036791,Atractivo Turistico,#00B4EB
263,263,Estación del Ferrocarril de Usaquén,USAQUEN,4.691039,-74.037294,Atractivo Turistico,#00B4EB
264,264,Tren Turístico de la Sabana,USAQUEN,4.690717,-74.03787,Atractivo Turistico,#00B4EB
265,265,Zona Comercial de Outlets de La Floresta,SUBA,4.691658,-74.074273,Atractivo Turistico,#00B4EB
266,266,Escultura Hombre a Caballo,LOS MARTIRES,4.620129,-74.076565,Atractivo Turistico,#00B4EB
267,267,Cementerio Alemán,LOS MARTIRES,4.620604,-74.077029,Atractivo Turistico,#00B4EB
268,268,Parque El Renacimiento,LOS MARTIRES,4.619577,-74.077329,Atractivo Turistico,#00B4EB
269,269,Casa Museo Rafael Uribe Uribe,CANDELARIA,4.595133,-74.075738,Atractivo Turistico,#00B4EB
270,270,Mezquita Abu Bakr Al Siddique,BARRIOS UNIDOS,4.674527,-74.067383,Atractivo Turistico,#00B4EB
271,271,Parque Urbanización Autopista Norte,USAQUEN,4.725256,-74.048402,Atractivo Turistico,#00B4EB
272,272,Monumento a Jorge Eliécer Gaitán,BARRIOS UNIDOS,4.67493,-74.072562,Atractivo Turistico,#00B4EB
273,273,Monumento a los Héroes Ignotos de la Independencia,BARRIOS UNIDOS,4.659336,-74.088579,Atractivo Turistico,#00B4EB
274,274,Palacio de los Deportes,BARRIOS UNIDOS,4.655441,-74.084111,Atractivo Turistico,#00B4EB
275,275,Teatro Cafam,BARRIOS UNIDOS,4.684874,-74.073231,Atractivo Turistico,#00B4EB
