Unnamed: 0,name,localidad,latitude,longitude,type,color
7581,Palacio Arzobispal,CANDELARIA,4.5974,-74.075534,Atractivo Turistico,#00B4EB
7585,Capilla del Sagrario,CANDELARIA,4.597578,-74.075332,Atractivo Turistico,#00B4EB
7586,Parque Ecológico Distrital Humedal Jaboque,ENGATIVA,4.720823,-74.138104,Atractivo Turistico,#00B4EB
7588,Parque Ecológico Distrital Humedal Meandro del Say,FONTIBON,4.674421,-74.164732,Atractivo Turistico,#00B4EB
7590,Parque Ecológico Distrital Humedal El Tunjo,TUNJUELITO,4.570729,-74.140052,Atractivo Turistico,#00B4EB
7591,Las Moyas,CHAPINERO,4.660757,-74.020832,Atractivo Turistico,#00B4EB
7592,Páramo de Cruz Verde,SAN CRISTOBAL,4.535022,-74.036173,Atractivo Turistico,#00B4EB
7594,Parque Ecológico Distrital Humedal Córdoba,SUBA,4.702206,-74.069589,Atractivo Turistico,#00B4EB
7598,Iglesia de Nuestra Señora de la Candelaria,CANDELARIA,4.596769,-74.072456,Atractivo Turistico,#00B4EB
7599,Escultura San Juan Bosco,CANDELARIA,4.594679,-74.074949,Atractivo Turistico,#00B4EB
7600,Iglesia de San Agustín,CANDELARIA,4.593886,-74.077975,Atractivo Turistico,#00B4EB
7603,Santuario de Nuestra Señora del Carmen,CANDELARIA,4.594731,-74.074664,Atractivo Turistico,#00B4EB
7605,Iglesia Nuestra Señora de las Aguas,CANDELARIA,4.602386,-74.066896,Atractivo Turistico,#00B4EB
7607,Claustro de las Aguas,CANDELARIA,4.601911,-74.066766,Atractivo Turistico,#00B4EB
7608,Alimentarte Food Festival,CHAPINERO,4.67313,-74.054603,Atractivo Turistico,#00B4EB
7610,Feria Tecnológica e Industrial del Mueble y la Madera,TEUSAQUILLO,4.629172,-74.089762,Atractivo Turistico,#00B4EB
7612,Templo de San Francisco,SANTA FE,4.601888,-74.073263,Atractivo Turistico,#00B4EB
7613,Palacio de Justicia Alfonso Reyes Echandía,CANDELARIA,4.598989,-74.075523,Atractivo Turistico,#00B4EB
7614,Parque Ecológico Distrital Humedal Juan Amarillo,ENGATIVA,4.728023,-74.109147,Atractivo Turistico,#00B4EB
7615,Parque Ecológico Distrital Humedal El Burro,KENNEDY,4.642819,-74.150844,Atractivo Turistico,#00B4EB
7616,Parque Ecológico Distrital Humedal La Vaca,KENNEDY,4.629082,-74.162258,Atractivo Turistico,#00B4EB
7618,Parque Ecológico Distrital Humedal Techo,KENNEDY,4.648018,-74.143338,Atractivo Turistico,#00B4EB
7620,Parque Ecológico Cantarrana,USME,4.50026,-74.12161,Atractivo Turistico,#00B4EB
7622,Cerro La Aguadora,USAQUEN,4.689573,-74.018403,Atractivo Turistico,#00B4EB
7623,Parque Ecológico Distrital de Montaña Entrenubes,SAN CRISTOBAL,4.5395,-74.0974,Atractivo Turistico,#00B4EB
7624,Centro Comercial Gran Estación,TEUSAQUILLO,4.646982,-74.101763,Atractivo Turistico,#00B4EB
7625,Zona Rural de Ciudad Bolívar,CIUDAD BOLIVAR,4.466951,-74.16054,Atractivo Turistico,#00B4EB
7627,Embalse Chisacá,USME,4.383694,-74.173279,Atractivo Turistico,#00B4EB
7629,Embalse La Regadera,USME,4.39943,-74.142028,Atractivo Turistico,#00B4EB
7631,Iglesia San Pedro de Usme,USME,4.470585,-74.125734,Atractivo Turistico,#00B4EB
7633,Casa Fundación Gilberto Álzate Avendaño FUGA,CANDELARIA,4.595486,-74.072403,Atractivo Turistico,#00B4EB
7634,Escultura Lumbalú,FONTIBON,4.650785,-74.113486,Atractivo Turistico,#00B4EB
7635,Fiesta de Reyes Magos y Epifanía,CANDELARIA,4.593553,-74.068992,Atractivo Turistico,#00B4EB
7636,Museo Millonarios FC,TEUSAQUILLO,4.645513,-74.078307,Atractivo Turistico,#00B4EB
7640,Hacienda Tagaste,KENNEDY,4.653079,-74.143723,Atractivo Turistico,#00B4EB
7644,Mural El Hombre y el Drama de la Vivienda,SANTA FE,4.607749,-74.075886,Atractivo Turistico,#00B4EB
7645,Iglesia San Alfonso María de Ligorio,TEUSAQUILLO,4.627946,-74.078088,Atractivo Turistico,#00B4EB
7648,Salón Histórico del Batallón Guardia Presidencial,CANDELARIA,4.591934,-74.080328,Atractivo Turistico,#00B4EB
7656,Festividad de la Virgen de Chiquinquirá,CHAPINERO,4.638513,-74.065281,Atractivo Turistico,#00B4EB
7659,Fiesta de Nuestra Señora de Lourdes,CHAPINERO,4.649688,-74.063109,Atractivo Turistico,#00B4EB
7661,Santuario de Nuestra Señora de la Peña,SANTA FE,4.586087,-74.065225,Atractivo Turistico,#00B4EB
7662,Palacio de Liévano,CANDELARIA,4.598448,-74.076648,Atractivo Turistico,#00B4EB
7663,Fiesta del Señor de los Milagros,TEUSAQUILLO,4.627946,-74.078088,Atractivo Turistico,#00B4EB
7666,Santuario de Nuestra Señora de Guadalupe,SANTA FE,4.591775,-74.054225,Atractivo Turistico,#00B4EB
7670,Ciclo Rosa,SANTA FE,4.608819,-74.070619,Atractivo Turistico,#00B4EB
7673,Capilla de Santa María de los Ángeles,CHAPINERO,4.661367,-74.050657,Atractivo Turistico,#00B4EB
7674,Andigráfica,TEUSAQUILLO,4.629172,-74.089762,Atractivo Turistico,#00B4EB
7678,Edificio Four Seasons Hotel Casa Medina Bogotá,CHAPINERO,4.652235,-74.056308,Atractivo Turistico,#00B4EB
7680,Casa de la Cultura de Usme,USME,4.472721,-74.123023,Atractivo Turistico,#00B4EB
7681,Expoconstrucción y Expodiseño,TEUSAQUILLO,4.629172,-74.089762,Atractivo Turistico,#00B4EB
7687,Colección Pizano,TEUSAQUILLO,4.63536,-74.083079,Atractivo Turistico,#00B4EB
7689,Casa del General Pedro Alcántara Herrán,CANDELARIA,4.597174,-74.074153,Atractivo Turistico,#00B4EB
7694,Palacio de Echeverry,CANDELARIA,4.596513,-74.077775,Atractivo Turistico,#00B4EB
7696,Iglesia Nuestra Señora de la Medalla Milagrosa,FONTIBON,4.652063,-74.108931,Atractivo Turistico,#00B4EB
7702,Palacio de San Carlos,CANDELARIA,4.596365,-74.074816,Atractivo Turistico,#00B4EB
7704,Feria Agroexpo,TEUSAQUILLO,4.629172,-74.089762,Atractivo Turistico,#00B4EB
7705,Feria Belleza y Salud,TEUSAQUILLO,4.629172,-74.089762,Atractivo Turistico,#00B4EB
7710,Feria Expoartesanías,TEUSAQUILLO,4.629172,-74.089762,Atractivo Turistico,#00B4EB
7711,Feria Internacional de Arte de Bogotá - ARTBO,TEUSAQUILLO,4.629172,-74.089762,Atractivo Turistico,#00B4EB
7712,Feria Internacional de Bogotá Exposición Industrial,TEUSAQUILLO,4.629172,-74.089762,Atractivo Turistico,#00B4EB
7721,Plaza de Bolívar,CANDELARIA,4.598105,-74.076096,Atractivo Turistico,#00B4EB
7722,Plazuela Rufino Cuervo,CANDELARIA,4.597161,-74.075274,Atractivo Turistico,#00B4EB
7724,Feria Internacional del Libro de Bogotá FILBO,TEUSAQUILLO,4.629172,-74.089762,Atractivo Turistico,#00B4EB
7728,International Footwear & Leather Show y Exhibición Internacional del Cuero e Insumos Maquinaria y Tecnología IFLS+EICI,TEUSAQUILLO,4.629172,-74.089762,Atractivo Turistico,#00B4EB
7729,Parque Salitre Mágico,BARRIOS UNIDOS,4.667315,-74.089862,Atractivo Turistico,#00B4EB
7730,Temporada Taurina en Bogotá,SANTA FE,4.612814,-74.068297,Atractivo Turistico,#00B4EB
7732,Cerro de Monserrate,SANTA FE,4.606023,-74.05487,Atractivo Turistico,#00B4EB
7735,Claustro Principal de la Universidad Colegio Mayor de Nuestra Señora del Rosario,CANDELARIA,4.600278,-74.073255,Atractivo Turistico,#00B4EB
7737,Auditorio León de Greiff,TEUSAQUILLO,4.635692,-74.082292,Atractivo Turistico,#00B4EB
7739,Altar Mayor Templo de San Francisco,SANTA FE,4.601888,-74.073263,Atractivo Turistico,#00B4EB
7746,Balcón Palacio de San Carlos,CANDELARIA,4.596325,-74.074569,Atractivo Turistico,#00B4EB
7748,Colección de Instrumentos Musicales,CANDELARIA,4.597401,-74.072424,Atractivo Turistico,#00B4EB
7751,Casa Natal José María Vergara y Vergara,CANDELARIA,4.597548,-74.072022,Atractivo Turistico,#00B4EB
7752,Sala de Conciertos Biblioteca Luis Ángel Arango,CANDELARIA,4.596999,-74.072825,Atractivo Turistico,#00B4EB
7757,Colección Numismática Casa de la Moneda,CANDELARIA,4.596755,-74.073577,Atractivo Turistico,#00B4EB
7758,Casa Natal de Rafael Pombo,CANDELARIA,4.596473,-74.074167,Atractivo Turistico,#00B4EB
7763,Casa Delia Zapata Olivella,CANDELARIA,4.594429,-74.071966,Atractivo Turistico,#00B4EB
7770,Casa Gregorio Vásquez de Arce y Ceballos,CANDELARIA,4.596441,-74.07265,Atractivo Turistico,#00B4EB
7775,Calle 10,CANDELARIA,4.596811,-74.074991,Atractivo Turistico,#00B4EB
7780,Museo de La Salle,CANDELARIA,4.594553,-74.070488,Atractivo Turistico,#00B4EB
